	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
80	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.0001	0.001	0.705852404109406	26.56024922376961	0.042228877544403	1.146280594113375e-09
81	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.0001	0.001	0.84725798983819	30.0075798406653	0.0156948659569025	4.745315268597364e-10
82	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.01	0.0001	0.7040610568701401	25.268797992477904	0.0642540082335472	2.398846586929164e-09
83	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.01	0.0001	0.6904399517222993	25.060777126297506	0.0664015635848045	2.468035211285994e-09
84	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.01	0.001	0.7809029697760876	24.674327993284194	0.0497624166309833	1.7752300206302944e-09
85	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.0001	0.0001	0.6566886847404597	23.1102969476261	0.0837511420249939	2.882649115044732e-09
86	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.01	0.0001	0.7139053928399463	22.50262243966774	0.0923494473099708	3.464585827405326e-09
87	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.01	0.001	0.8624993863963893	31.50181456452877	0.0170716177672147	5.60086449869051e-10
88	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.0001	0.0001	0.759742097570477	27.0481428487326	0.0343660674989223	1.1501025929807939e-09
89	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.01	0.01	0.1120684434090285	7.9479406736607805	2.832172155380249	4.72705481684566e-08
90	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.001	0.01	0.2000220556579305	13.313109224079012	1.465370774269104	2.1508218612334222e-08
91	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.01	0.01	0.1145665477547309	2.172981020838745	4.387485980987549	1.2363211488906444e-07
92	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.001	0.001	0.8581276429058181	29.93378914101297	0.0181259680539369	5.506722732715384e-10
93	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.0001	0.001	0.472960046020143	19.728119662608027	0.1717011779546737	5.123331034664013e-09
94	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.001	0.0001	0.7387900790469416	23.97422695399669	0.0647285357117652	2.4123170252129052e-09
95	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.001	0.001	0.8999635366034486	33.96624385610558	0.0097022699192166	2.7900673427474e-10
96	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.001	0.0001	0.7441287667825467	26.46306838247568	0.04306136444211	1.4984170885880355e-09
97	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.0001	0.0001	0.7040934518337751	24.119915786683187	0.0575514622032642	2.0816027189134863e-09
98	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.0001	0.01	0.1583386932679461	8.883160198135947	2.874735116958618	6.075656170961616e-08
99	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.0001	0.01	0.063886241124777	-0.2208333604635967	11.420717239379885	3.367872673157408e-07
100	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.0001	0.001	0.7540678863441236	26.911967918412167	0.0317495092749595	1.03088162499998e-09
101	0	[121, 145]	no	0.125	5	[11, 11]	0.05	0.0001	0.0001	0.4312260890726834	18.809328592952564	0.2591778635978699	7.1264721054514225e-09
102	0	[121, 145]	no	0.125	5	[13, 13]	0.0175	0.01	0.01	0.0710046768886623	7.950218660230556	2.527750015258789	4.5528847211206015e-08
103	0	[121, 145]	square	0.125	5	[11, 11]	0.05	0.001	0.01	0.498915361527753	19.118667760450705	0.211608424782753	3.741998751606394e-09
104	0	[121, 145]	square	0.125	5	[13, 13]	0.0175	0.01	0.001	0.8342071704150622	30.168138400612744	0.0188563205301761	6.312450659288218e-10
105	0	[121, 145]	square	0.125	5	[13, 13]	0.0175	0.01	0.01	0.5450502526478466	21.074098561744197	0.1694188565015792	2.788136114021667e-09
106	0	[121, 145]	square	0.125	5	[13, 13]	0.0175	0.001	0.01	0.0203856097997069	-8.190133650005503	18.75617027282715	6.025575478964474e-07
107	0	[121, 145]	square	0.125	5	[13, 13]	0.05	0.0001	0.01	0.0036206661673182	-17.63671067235635	114.19342041015624	4.128588681419117e-06
108	0	[121, 145]	no	0.125	5	[13, 13]	0.0175	0.01	0.001	0.7746874695543405	24.89072319163628	0.0515170395374298	1.877798662358844e-09
109	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.01	0.01	0.7211752471969844	28.345318355117648	0.0274477992206811	7.481142042891693e-10
110	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.01	0.001	0.4473058769726066	17.916225560828256	0.1672053784132003	6.0568534052926395e-09
111	0	[121, 145]	no	0.125	5	[13, 13]	0.0175	0.01	0.0001	0.667337154200772	20.15230033145801	0.1383105814456939	5.034097124655471e-09
112	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.01	0.001	0.7451567510691277	29.48780597299549	0.0198528934270143	5.466243478518177e-10
113	0	[121, 145]	square	0.125	5	[13, 13]	0.0175	0.01	0.0001	0.714758691031309	25.240251984287468	0.0783266872167587	2.8960964782668304e-09
114	0	[121, 145]	no	0.125	5	[13, 13]	0.0175	0.001	0.001	0.8539184968828998	30.03751015220824	0.0191702451556921	5.919397551206471e-10
115	0	[121, 145]	no	0.125	5	[13, 13]	0.0175	0.001	0.01	0.0125024538585228	-2.80534979828507	11.7322416305542	3.0742545085248255e-07
116	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.01	0.01	0.5096134745004921	18.753378806974077	0.1450557559728622	5.034216053431691e-09
117	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.01	0.0001	0.3249985249640659	15.192586239348769	0.4116912186145782	1.4806595981326277e-08
118	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.01	0.0001	0.7260400296274979	27.62406031391257	0.0277439672499895	8.412921361821713e-10
119	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.001	0.001	0.7022178538548879	26.769801444963704	0.0335648879408836	9.090204871999301e-10
120	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.001	0.01	0.5494213891604905	20.632894114166824	0.1098536029458046	3.6353763544994762e-09
121	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.001	0.0001	0.4781822972446614	19.117328053474942	0.1417693197727203	4.6681105867342255e-09
122	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.001	0.01	0.7504721654183091	29.599880585926925	0.0195827055722475	5.053307414090158e-10
123	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.0001	0.01	0.7714351970929151	30.491337168020102	0.0151181016117334	3.434934387225005e-10
124	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.001	0.001	0.8097438862880788	31.621957755989836	0.0113179581239819	2.984874258090307e-10
125	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.001	0.0001	0.7875472992449233	30.738285156948216	0.0141004836186766	3.8743034095778704e-10
126	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.0001	0.001	0.8059251323619276	31.866643261730587	0.0100556835532188	2.4526735838261437e-10
127	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.0001	0.001	0.5922020030356048	21.673109302291973	0.0762026607990264	2.305222801529993e-09
128	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.0001	0.0001	0.7409600149783708	26.181410508936445	0.0338186062872409	8.966046404673859e-10
129	0	[121, 145]	no	0.25	1	[11, 11]	0.0175	0.0001	0.01	0.4268263987212728	17.407550864096134	0.1770737618207931	5.976206605074601e-09
130	0	[121, 145]	square	0.25	1	[11, 11]	0.0175	0.0001	0.0001	0.8399383861320054	33.25621037353389	0.0082904445007443	2.0103852008696748e-10
131	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.01	0.0001	0.3766746964024421	16.417679051155677	0.2652950286865234	9.526365432319575e-09
132	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.01	0.01	0.7440613469457094	29.221908290921963	0.0218475107103586	5.86864956215488e-10
133	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.01	0.01	0.5276620316360239	18.32508771682245	0.1635026633739471	5.695871299831191e-09
134	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.01	0.001	0.6073483789339574	22.057330304537448	0.0732394084334373	2.323994935776906e-09
135	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.01	0.001	0.7808230109758202	30.585734155057654	0.0143525069579482	3.8521636283533294e-10
136	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.01	0.0001	0.7588933379135367	29.25886235211113	0.0204119570553302	5.874844308100157e-10
137	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.001	0.01	0.5548101586411159	20.6329722624938	0.1115913093090057	3.7166217503595556e-09
138	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.001	0.001	0.8119418541318106	31.883158047981105	0.0101443184539675	2.725398494763941e-10
139	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.001	0.001	0.6162030608496541	24.088424564939924	0.0548684187233448	1.6066518531719616e-09
140	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.001	0.0001	0.6172834418491331	23.207195612762685	0.0653761774301529	1.8548000881009563e-09
141	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.001	0.01	0.755095625043484	29.68334951809412	0.0178837217390537	4.842070267913171e-10
142	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.0001	0.0001	0.6784423834806387	18.897102737979974	0.168406680226326	5.089150186554622e-09
143	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.0001	0.001	0.4754222243550136	15.48848273313508	0.3226896822452545	1.0386518839295557e-08
144	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.001	0.0001	0.8276729909039219	31.992854205984926	0.0099476054310798	2.8143574598449995e-10
145	0	[121, 145]	square	0.25	1	[11, 11]	0.05	0.0001	0.001	0.7671104258759096	30.20664851061088	0.0146250333636999	2.911852139608101e-10
146	0	[121, 145]	no	0.25	1	[11, 11]	0.05	0.0001	0.01	0.3393841492895468	13.429871473183802	0.3819210827350616	1.4235996400246031e-08
