	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
415	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.01	0.0001	1.0	inf	0.0	0.0
416	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.001	0.01	1.0	inf	0.0	0.0
420	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.001	0.0001	1.0	inf	0.0	0.0
421	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.01	0.01	1.0	inf	0.0	0.0
422	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.01	0.001	1.0	inf	0.0	0.0
423	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.0001	0.01	1.0	inf	0.0	0.0
425	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.0001	0.001	1.0	inf	0.0	0.0
427	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.0001	0.0001	1.0	inf	0.0	0.0
429	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.01	0.0001	1.0	inf	0.0	0.0
435	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.001	0.01	1.0	inf	0.0	0.0
436	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.0001	0.01	1.0	inf	0.0	0.0
438	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.001	0.001	1.0	inf	0.0	0.0
449	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.001	0.0001	1.0	inf	0.0	0.0
454	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.0001	0.0001	1.0	inf	0.0	0.0
466	0	[4, 4]	square	0.125	10	[13, 13]	0.05	0.0001	0.001	1.0	inf	0.0	0.0
653	0	[4, 4]	square	0.125	5	[11, 11]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
